index, name                                                   , type      , volume-mm3 
99  , ctx-rh-postcentral_8                                   , cortical  ,      557.0 
98  , ctx-rh-postcentral_7                                   , cortical  ,      572.0 
91  , ctx-rh-isthmuscingulate_2                              , cortical  ,     1412.0 
90  , ctx-rh-isthmuscingulate_1                              , cortical  ,     1596.0 
93  , ctx-rh-postcentral_2                                   , cortical  ,      945.0 
92  , ctx-rh-postcentral_1                                   , cortical  ,      942.0 
95  , ctx-rh-postcentral_4                                   , cortical  ,      987.0 
94  , ctx-rh-postcentral_3                                   , cortical  ,      557.0 
97  , ctx-rh-postcentral_6                                   , cortical  ,      736.0 
96  , ctx-rh-postcentral_5                                   , cortical  ,      302.0 
238 , Right-Hippocampus_Presubiculum                         , subcortical,      387.0 
239 , Right-Hippocampus_Subiculum                            , subcortical,      543.0 
234 , Right-Accumbens_area                                   , subcortical,      828.0 
235 , Right-Amygdala                                         , subcortical,     2216.0 
236 , Right-Hippocampus                                      , subcortical,     1351.0 
237 , Right-Hippocampus_Parasubiculum                        , subcortical,       65.0 
230 , Right-Ventral_Latero_Ventral                           , subcortical,     1407.0 
231 , Right-Caudate                                          , subcortical,     4874.0 
232 , Right-Putamen                                          , subcortical,     6306.0 
233 , Right-Pallidum                                         , subcortical,     2689.0 
1   , ctx-rh-lateralorbitofrontal_1                          , cortical  ,     1281.0 
146 , ctx-rh-precuneus_9                                     , cortical  ,     1601.0 
147 , ctx-rh-precuneus_10                                    , cortical  ,     1742.0 
144 , ctx-rh-precuneus_7                                     , cortical  ,     1358.0 
145 , ctx-rh-precuneus_8                                     , cortical  ,     1638.0 
142 , ctx-rh-precuneus_5                                     , cortical  ,      926.0 
143 , ctx-rh-precuneus_6                                     , cortical  ,     1241.0 
140 , ctx-rh-precuneus_3                                     , cortical  ,      945.0 
141 , ctx-rh-precuneus_4                                     , cortical  ,     1011.0 
148 , ctx-rh-cuneus_1                                        , cortical  ,      473.0 
149 , ctx-rh-cuneus_2                                        , cortical  ,      482.0 
133 , ctx-rh-inferiorparietal_8                              , cortical  ,      754.0 
132 , ctx-rh-inferiorparietal_7                              , cortical  ,      785.0 
131 , ctx-rh-inferiorparietal_6                              , cortical  ,      761.0 
130 , ctx-rh-inferiorparietal_5                              , cortical  ,      668.0 
137 , ctx-rh-inferiorparietal_12                             , cortical  ,     1209.0 
136 , ctx-rh-inferiorparietal_11                             , cortical  ,     1151.0 
