index, name                                                   , type      , volume-mm3 
344 , ctx-rh-pericalcarine_7                                 , cortical  ,      162.0 
345 , ctx-rh-pericalcarine_2                                 , cortical  ,      278.0 
346 , ctx-rh-pericalcarine_6                                 , cortical  ,      114.0 
347 , ctx-rh-pericalcarine_4                                 , cortical  ,      194.0 
340 , ctx-rh-cuneus_4                                        , cortical  ,      314.0 
341 , ctx-rh-pericalcarine_1                                 , cortical  ,      264.0 
342 , ctx-rh-pericalcarine_5                                 , cortical  ,      195.0 
343 , ctx-rh-pericalcarine_3                                 , cortical  ,      180.0 
810 , ctx-lh-superiorparietal_3                              , cortical  ,      364.0 
811 , ctx-lh-superiorparietal_8                              , cortical  ,      308.0 
812 , ctx-lh-inferiorparietal_13                             , cortical  ,      409.0 
813 , ctx-lh-inferiorparietal_21                             , cortical  ,      370.0 
348 , ctx-rh-pericalcarine_8                                 , cortical  ,      277.0 
349 , ctx-rh-lateraloccipital_18                             , cortical  ,      356.0 
816 , ctx-lh-inferiorparietal_4                              , cortical  ,      504.0 
817 , ctx-lh-inferiorparietal_25                             , cortical  ,      925.0 
737 , ctx-lh-postcentral_25                                  , cortical  ,      525.0 
739 , ctx-lh-postcentral_3                                   , cortical  ,      342.0 
719 , ctx-lh-posteriorcingulate_1                            , cortical  ,      270.0 
718 , ctx-lh-posteriorcingulate_8                            , cortical  ,      432.0 
717 , ctx-lh-caudalanteriorcingulate_5                       , cortical  ,      628.0 
716 , ctx-lh-caudalanteriorcingulate_3                       , cortical  ,      288.0 
715 , ctx-lh-caudalanteriorcingulate_2                       , cortical  ,      501.0 
714 , ctx-lh-caudalanteriorcingulate_4                       , cortical  ,      401.0 
713 , ctx-lh-caudalanteriorcingulate_6                       , cortical  ,      291.0 
712 , ctx-lh-caudalanteriorcingulate_1                       , cortical  ,      212.0 
711 , ctx-lh-rostralanteriorcingulate_3                      , cortical  ,      579.0 
710 , ctx-lh-rostralanteriorcingulate_4                      , cortical  ,      683.0 
421 , ctx-rh-inferiortemporal_11                             , cortical  ,      622.0 
129 , ctx-rh-caudalmiddlefrontal_1                           , cortical  ,      662.0 
420 , ctx-rh-inferiortemporal_9                              , cortical  ,      916.0 
423 , ctx-rh-inferiortemporal_1                              , cortical  ,      473.0 
422 , ctx-rh-inferiortemporal_8                              , cortical  ,      746.0 
1060, Brain_Stem-SCP                                         , subcortical,      223.0 
424 , ctx-rh-inferiortemporal_4                              , cortical  ,      639.0 
427 , ctx-rh-inferiortemporal_6                              , cortical  ,      848.0 
298 , ctx-rh-inferiorparietal_19                             , cortical  ,      385.0 
299 , ctx-rh-inferiorparietal_14                             , cortical  ,      363.0 
296 , ctx-rh-inferiorparietal_5                              , cortical  ,      373.0 
297 , ctx-rh-inferiorparietal_1                              , cortical  ,      423.0 
294 , ctx-rh-inferiorparietal_2                              , cortical  ,      372.0 
295 , ctx-rh-inferiorparietal_17                             , cortical  ,      385.0 
292 , ctx-rh-inferiorparietal_16                             , cortical  ,      316.0 
293 , ctx-rh-inferiorparietal_26                             , cortical  ,      344.0 
290 , ctx-rh-inferiorparietal_12                             , cortical  ,      585.0 
291 , ctx-rh-inferiorparietal_8                              , cortical  ,      404.0 
591 , ctx-lh-rostralmiddlefrontal_23                         , cortical  ,      449.0 
590 , ctx-lh-rostralmiddlefrontal_25                         , cortical  ,      605.0 
593 , ctx-lh-rostralmiddlefrontal_27                         , cortical  ,      580.0 
592 , ctx-lh-rostralmiddlefrontal_4                          , cortical  ,      788.0 
595 , ctx-lh-rostralmiddlefrontal_17                         , cortical  ,      708.0 
594 , ctx-lh-rostralmiddlefrontal_14                         , cortical  ,      544.0 
597 , ctx-lh-rostralmiddlefrontal_12                         , cortical  ,      617.0 
596 , ctx-lh-rostralmiddlefrontal_9                          , cortical  ,      796.0 
195 , ctx-rh-posteriorcingulate_3                            , cortical  ,      336.0 
194 , ctx-rh-posteriorcingulate_5                            , cortical  ,      193.0 
197 , ctx-rh-posteriorcingulate_4                            , cortical  ,      685.0 
196 , ctx-rh-posteriorcingulate_9                            , cortical  ,      178.0 
191 , ctx-rh-posteriorcingulate_1                            , cortical  ,      198.0 
190 , ctx-rh-posteriorcingulate_8                            , cortical  ,      525.0 
193 , ctx-rh-posteriorcingulate_2                            , cortical  ,      554.0 
192 , ctx-rh-posteriorcingulate_7                            , cortical  ,      643.0 
270 , ctx-rh-superiorparietal_9                              , cortical  ,      529.0 
271 , ctx-rh-superiorparietal_5                              , cortical  ,      398.0 
272 , ctx-rh-superiorparietal_26                             , cortical  ,      479.0 
273 , ctx-rh-superiorparietal_23                             , cortical  ,      399.0 
274 , ctx-rh-superiorparietal_2                              , cortical  ,      282.0 
275 , ctx-rh-superiorparietal_14                             , cortical  ,      334.0 
276 , ctx-rh-superiorparietal_11                             , cortical  ,      430.0 
277 , ctx-rh-superiorparietal_21                             , cortical  ,      248.0 
278 , ctx-rh-superiorparietal_19                             , cortical  ,      312.0 
279 , ctx-rh-superiorparietal_6                              , cortical  ,      207.0 
569 , ctx-lh-parstriangularis_7                              , cortical  ,      556.0 
497 , ctx-rh-insula_14                                       , cortical  ,      783.0 
524 , Right-Hippocampus_Molecular_layer_HP                   , subcortical,      750.0 
